formulation,grid_fee_eur_per_kwh,status,periods,objective_eur,runtime_seconds,total_grid_fee_paid_eur,total_grid_exchange_kwh,total_import_kwh,total_export_kwh,throughput_kwh,equivalent_cycles,average_soc_utilization,local_self_consumed_kwh,self_consumption_rate,baseline_objective_eur,baseline_grid_exchange_kwh,baseline_self_consumption_rate,objective_change_from_baseline_eur,grid_exchange_change_from_baseline_kwh,self_consumption_rate_change
basic,0.0,OPTIMAL,168,6.78120985263158,0.3580000400543213,0.0,116.0572105263158,34.653263157894735,81.40394736842106,105.16131578947369,11.252222222222223,0.3997215260373156,21.862052631578948,0.40907233185971875,6.78120985263158,116.0572105263158,0.40907233185971875,0.0,0.0,0.0
basic,0.01,OPTIMAL,168,5.73726163595568,0.1230001449584961,0.9331630470914126,93.31630470914126,22.928515235457063,70.38778947368421,91.33472576177286,9.794666666666666,0.3789268379281537,26.34721052631579,0.4929964733700539,6.78120985263158,116.0572105263158,0.40907233185971875,-1.0439482166758998,-22.740905817174536,0.08392414151033517
basic,0.02,OPTIMAL,168,4.959120276094184,0.05500006675720215,1.2431019390581717,62.155096952908586,6.671623268698061,55.48347368421052,64.94214958448754,7.012444444444444,0.31799333054859374,28.257526315789477,0.5287413939297846,6.78120985263158,116.0572105263158,0.40907233185971875,-1.8220895765373957,-53.90211357340721,0.11966906207006583
basic,0.03,OPTIMAL,168,4.357954005223685,0.03800010681152344,1.6545113960526314,55.15037986842105,3.155999999999999,51.99437986842105,64.42448513157895,6.957873888888889,0.3203463624338625,30.684052631578947,0.5741454003626096,6.78120985263158,116.0572105263158,0.40907233185971875,-2.423255847407895,-60.90683065789475,0.16507306850289089
basic,0.04,OPTIMAL,168,3.851186076707965,0.04900002479553223,1.997213943767313,49.930348594182824,0.5258421052631558,49.404506488919665,63.638420616343495,6.875009444444444,0.3313595899470899,32.59903601108034,0.6099776586471631,6.78120985263158,116.0572105263158,0.40907233185971875,-2.930023775923615,-66.12686193213298,0.20090532678744438
basic,0.05,OPTIMAL,168,3.3540716702398297,0.06100010871887207,2.480633219182824,49.61266438365647,0.3669999999999999,49.245664383656475,63.63842061634369,6.875009444444448,0.33084199387356966,32.70087811634352,0.6118832796875834,6.78120985263158,116.0572105263158,0.40907233185971875,-3.4271381823917504,-66.44454614265933,0.20281094782786463
tighter,0.0,OPTIMAL,168,6.78120985263158,0.0279998779296875,0.0,116.8912105263158,35.070263157894736,81.82094736842106,105.16131578947369,11.252222222222223,0.40130882762461717,21.445052631578946,0.40126962617328643,6.78120985263158,116.8912105263158,0.40126962617328643,0.0,0.0,0.0
tighter,0.01,OPTIMAL,168,5.73726163595568,0.0409998893737793,0.9331630470914126,93.31630470914126,22.928515235457063,70.38778947368421,91.33472576177286,9.794666666666666,0.3789268379281537,26.34721052631579,0.4929964733700539,6.78120985263158,116.8912105263158,0.40126962617328643,-1.0439482166758998,-23.57490581717454,0.09172684719676749
tighter,0.02,OPTIMAL,168,4.959120276094184,0.05500006675720215,1.2431019390581717,62.155096952908586,6.671623268698061,55.48347368421052,64.94214958448754,7.012444444444444,0.31799333054859374,28.257526315789477,0.5287413939297846,6.78120985263158,116.8912105263158,0.40126962617328643,-1.8220895765373957,-54.736113573407216,0.12747176775649816
tighter,0.03,OPTIMAL,168,4.357954005223685,0.08800005912780762,1.6545113960526314,55.15037986842105,3.155999999999999,51.99437986842105,64.42448513157895,6.957873888888889,0.3203463624338625,30.684052631578947,0.5741454003626096,6.78120985263158,116.8912105263158,0.40126962617328643,-2.423255847407895,-61.740830657894755,0.1728757741893232
tighter,0.04,OPTIMAL,168,3.851186076707965,0.07600021362304688,1.997213943767313,49.930348594182824,0.5258421052631558,49.404506488919665,63.63842061634349,6.875009444444444,0.3313595899470899,32.59903601108034,0.6099776586471631,6.78120985263158,116.8912105263158,0.40126962617328643,-2.930023775923615,-66.96086193213299,0.2087080324738767
tighter,0.05,OPTIMAL,168,3.3540716702398194,0.04200005531311035,2.4806332191828253,49.6126643836565,0.3669999999999999,49.245664383656504,63.63842061634349,6.875009444444444,0.3308419938735728,32.70087811634349,0.6118832796875828,6.78120985263158,116.8912105263158,0.40126962617328643,-3.4271381823917606,-67.27854614265931,0.2106136535142964
