formulation,grid_fee_eur_per_kwh,status,periods,objective_eur,runtime_seconds,total_grid_fee_paid_eur,total_grid_exchange_kwh,total_import_kwh,total_export_kwh,throughput_kwh,equivalent_cycles,average_soc_utilization,local_self_consumed_kwh,self_consumption_rate,fee_as_fraction_of_profit,hours_below_fee,hours_below_fee_pct
basic,0.0,OPTIMAL,7895,32.259181338199994,5.151524999877438,0.0,6522.698274238228,3533.8447229916897,2988.853551246538,5193.458171745153,547.6444444444445,0.42313034009977446,567.1314487534627,0.3619578265312071,0.0,547,6.928435718809372
basic,0.01,OPTIMAL,7895,-22.73242840602677,18.040374000091106,46.52935813137119,4652.935813137119,2574.888794466759,2078.04701867036,4253.927650796399,448.60209722222226,0.40546603476180426,780.2393213296399,0.4979687328985144,,908,11.500949968334389
basic,0.02,OPTIMAL,7895,-63.00218987443395,15.832506899954751,71.47716839099724,3573.8584195498615,2017.7207243005541,1556.1376952493074,3565.9300540512468,376.0755583333334,0.41405720142661917,848.9806897506925,0.5418412361094611,,1042,13.198226725775807
basic,0.03,OPTIMAL,7895,-96.43267003716961,29.07400369993411,95.63247050297784,3187.749016765928,1818.9101055470915,1368.8389112188365,3341.301689328255,352.39594388888895,0.42180651556059234,893.9650387811635,0.570551400637947,,1144,14.490183660544648
basic,0.04,OPTIMAL,7895,-127.30514673479614,205.9904161999002,120.05716923711913,3001.429230927978,1722.5673077077563,1278.8619232202216,3217.0867844875347,339.3016,0.42504929591235846,916.0306592797784,0.5846342451959342,,1229,15.566814439518684
basic,0.05,OPTIMAL,7895,-156.82013756908327,112.01774929999374,145.45794680090032,2909.158936018006,1674.7057376108037,1234.4531984072023,3149.7120342036014,332.19916611111114,0.42681938735375485,931.0194265927978,0.5942004606666635,,1361,17.238758708043065
tighter,0.0,OPTIMAL,7895,32.259181338199994,4.267008499940857,0.0,6525.576590027701,3535.2838808864262,2990.292709141275,5193.458171745153,547.6444444444445,0.4235525482483917,565.6932908587257,0.36103995730189203,0.0,547,6.928435718809372
tighter,0.01,OPTIMAL,7895,-22.73242840602676,14.735937200020999,46.52935813137119,4652.935813137119,2574.888794466759,2078.04701867036,4253.927650796399,448.60209722222226,0.40565026395416454,780.2393213296399,0.4979687328985144,,908,11.500949968334389
tighter,0.02,OPTIMAL,7895,-63.00218987443393,16.621099999872968,71.47716839099724,3573.8584195498615,2017.7207243005541,1556.1376952493074,3565.9300540512468,376.0755583333334,0.41415494424259935,848.9806897506925,0.5418412361094611,,1042,13.198226725775807
tighter,0.03,OPTIMAL,7895,-96.43267003716961,176.85097050014883,95.63247050297784,3187.749016765928,1818.9101055470915,1368.8389112188368,3341.301689328255,352.39594388888895,0.42235630775270455,893.9650387811637,0.5705514006379472,,1144,14.490183660544648
tighter,0.04,OPTIMAL,7895,-127.30514673479611,27.925859699957073,120.04812923711913,3001.203230927978,1722.4543077077562,1278.7489232202217,3217.0867844875347,339.3016,0.4251182393920203,916.0306592797784,0.5846342451959342,,1229,15.566814439518684
tighter,0.05,OPTIMAL,7895,-156.82013756908322,56.78052749997005,145.47354680090027,2909.470936018005,1674.8617376108034,1234.6091984072018,3149.7120342036005,332.19916611111097,0.42679660211326287,931.0194265927978,0.5942004606666635,,1361,17.238758708043065
