size,period,scenario,formulation,model_variant,lp_relaxation,profit,runtime_seconds
0.1,first,first 10%,Basic,MIP,False,30.866721993379507,0.6197965145111084
0.1,first,first 10%,Basic,LP,True,30.915567308715982,0.12338018417358398
0.1,first,first 10%,Tighter,MIP,False,30.866721993379503,0.4258913993835449
0.1,first,first 10%,Tighter,LP,True,30.870088300869643,0.12635326385498047
0.1,middle,middle 10%,Basic,MIP,False,24.9661670345152,0.4206507205963135
0.1,middle,middle 10%,Basic,LP,True,24.976169319815547,0.1221768856048584
0.1,middle,middle 10%,Tighter,MIP,False,24.9661670345152,0.5117428302764893
0.1,middle,middle 10%,Tighter,LP,True,24.966517034041985,0.12184929847717285
0.1,last,last 10%,Basic,MIP,False,-35.03189253155124,0.5744059085845947
0.1,last,last 10%,Basic,LP,True,-35.03189253155124,0.11165308952331543
0.1,last,last 10%,Tighter,MIP,False,-35.03189253155124,0.4095146656036377
0.1,last,last 10%,Tighter,LP,True,-35.03189253155124,0.12752318382263184
0.2,first,first 20%,Basic,MIP,False,60.2406864841829,0.8174200057983398
0.2,first,first 20%,Basic,LP,True,60.40728594621168,0.23766183853149414
0.2,first,first 20%,Tighter,MIP,False,60.24068648418289,0.927804708480835
0.2,first,first 20%,Tighter,LP,True,60.24459353737285,0.278017520904541
0.2,middle,middle 20%,Basic,MIP,False,36.866221675595455,0.869671106338501
0.2,middle,middle 20%,Basic,LP,True,36.89253916296648,0.27280306816101074
0.2,middle,middle 20%,Tighter,MIP,False,36.866221675595455,0.9056153297424316
0.2,middle,middle 20%,Tighter,LP,True,36.866702184811736,0.2905290126800537
0.2,last,last 20%,Basic,MIP,False,-76.66216533166204,1.0927760601043701
0.2,last,last 20%,Basic,LP,True,-76.66216533166204,0.25090932846069336
0.2,last,last 20%,Tighter,MIP,False,-76.66250427903046,1.1670515537261963
0.2,last,last 20%,Tighter,LP,True,-76.66216533166204,0.24765849113464355
0.5,first,first 50%,Basic,MIP,False,123.85402507933513,2.1935529708862305
0.5,first,first 50%,Basic,LP,True,124.06872125332526,0.61820387840271
0.5,first,first 50%,Tighter,MIP,False,123.8540250793351,2.2565929889678955
0.5,first,first 50%,Tighter,LP,True,123.85899891644513,0.666435956954956
0.5,middle,middle 50%,Basic,MIP,False,49.07639049684184,2.1963226795196533
0.5,middle,middle 50%,Basic,LP,True,49.11535649608773,0.6170241832733154
0.5,middle,middle 50%,Tighter,MIP,False,49.07639049684184,2.2755770683288574
0.5,middle,middle 50%,Tighter,LP,True,49.07792872711072,0.663240909576416
0.5,last,last 50%,Basic,MIP,False,-91.56749781850421,2.824639081954956
0.5,last,last 50%,Basic,LP,True,-91.55474680426758,0.6910176277160645
0.5,last,last 50%,Tighter,MIP,False,-91.56749781850421,2.3322947025299072
0.5,last,last 50%,Tighter,LP,True,-91.56702507746003,0.6654684543609619
0.75,first,first 75%,Basic,MIP,False,120.76081644360139,4.439506530761719
0.75,first,first 75%,Basic,LP,True,120.98826363182813,0.9794812202453613
0.75,first,first 75%,Tighter,MIP,False,120.76081644360144,4.462002515792847
0.75,first,first 75%,Tighter,LP,True,120.76626302175555,1.0974619388580322
0.75,middle,middle 75%,Basic,MIP,False,42.07204471678666,4.432196617126465
0.75,middle,middle 75%,Basic,LP,True,42.211929996209165,1.0363106727600098
0.75,middle,middle 75%,Tighter,MIP,False,42.072324716786675,3.7549521923065186
0.75,middle,middle 75%,Tighter,LP,True,42.07402305232382,1.0743908882141113
0.75,last,last 75%,Basic,MIP,False,-39.40244915008336,4.631195783615112
0.75,last,last 75%,Basic,LP,True,-39.363483150837475,1.6663007736206055
0.75,last,last 75%,Tighter,MIP,False,-39.40244915008335,4.747069358825684
0.75,last,last 75%,Tighter,LP,True,-39.400910919814486,1.0733349323272705
