grid_fee_eur_per_kwh,formulation,objective_eur,no_battery_objective_eur,battery_incremental_value_eur
0.0,basic,32.259181338199994,-138.70578285999994,170.96496419819994
0.0,tighter,32.258591455097545,-138.70578285999994,170.96437431509747
0.01,basic,-22.732444212231567,-172.8459928600003,150.11354864776874
0.01,tighter,-22.73245535170522,-172.8459928600003,150.11353750829508
0.02,basic,-63.00221634976678,-206.98620285999957,143.9839865102328
0.02,tighter,-63.002888946879274,-206.98620285999957,143.9833139131203
0.03,basic,-96.43293547716948,-241.12641285999987,144.6934773828304
0.03,tighter,-96.4326700371695,-241.12641285999987,144.69374282283036
0.04,basic,-127.3051467347954,-275.26662286000004,147.96147612520463
0.04,tighter,-127.3051467347954,-275.26662286000004,147.96147612520463
0.05,basic,-156.8204465635049,-309.40683286000103,152.58638629649613
0.05,tighter,-156.82053442285218,-309.40683286000103,152.58629843714886
