formulation,grid_fee_eur_per_kwh,status,periods,objective_eur,runtime_seconds,total_grid_fee_paid_eur,total_grid_exchange_kwh,total_charge_kwh,total_discharge_kwh,equivalent_full_cycles,self_consumption_rate,behavioural_cost_eur,zero_fee_objective_eur,zero_fee_grid_exchange_kwh,zero_fee_self_consumption_rate,no_battery_objective_eur,no_battery_grid_exchange_kwh,no_battery_self_consumption_rate,objective_change_from_zero_fee_eur,grid_exchange_change_from_zero_fee_kwh,self_consumption_change_from_zero_fee,objective_gain_vs_no_battery_eur,grid_exchange_reduction_vs_no_battery_kwh,self_consumption_gain_vs_no_battery,battery_incremental_value_eur
no_battery,0.0,OPTIMAL,7895,-138.70578285999994,5.746717929840088,0.0,3414.0209999999997,0.0,0.0,0.0,0.0,0.0,-138.70578285999994,3414.0209999999997,0.0,-138.70578285999994,3414.0209999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basic,0.0,OPTIMAL,7895,32.259181338199994,20.75105309486389,0.0,6522.698274238227,2729.0581717451523,2464.4,547.6444444444445,0.3619578265312071,0.0,32.259181338199994,6522.698274238227,0.3619578265312071,-138.70578285999994,3414.0209999999997,0.0,0.0,0.0,0.0,170.96496419819994,-3108.6772742382273,0.3619578265312071,170.96496419819994
tighter,0.0,OPTIMAL,7895,32.258591455097545,20.307156562805176,0.0,6524.322891966759,2728.842105263158,2464.205,547.6011111111111,0.36130821361169296,0.0,32.258591455097545,6524.322891966759,0.36130821361169296,-138.70578285999994,3414.0209999999997,0.0,0.0,0.0,0.0,170.96437431509747,-3110.3018919667593,0.36130821361169296,170.96437431509747
no_battery,0.01,OPTIMAL,7895,-172.8459928600003,2.169316053390503,34.140209999999996,3414.0209999999997,0.0,0.0,0.0,0.0,3.694822225952521e-13,-138.70578285999994,3414.0209999999997,0.0,-172.8459928600003,3414.0209999999997,0.0,-34.140210000000366,0.0,0.0,0.0,0.0,0.0,0.0
basic,0.01,OPTIMAL,7895,-22.732444212231567,16.666597366333008,46.52639696793629,4652.639696793629,2235.213781163435,2018.7054375,448.6012083333333,0.4980605366168573,8.465228582495271,32.259181338199994,6522.698274238227,0.3619578265312071,-172.8459928600003,3414.0209999999997,0.0,-54.991625550431564,-1870.058577444598,0.13610271008565017,150.11354864776874,-1238.6186967936292,0.4980605366168573,150.11354864776874
tighter,0.01,OPTIMAL,7895,-22.73245535170522,11.208800077438354,46.52927381004155,4652.927381004155,2235.2137811634348,2018.7054375,448.6012083333333,0.49796873289851445,8.461772996761212,32.258591455097545,6524.322891966759,0.36130821361169296,-172.8459928600003,3414.0209999999997,0.0,-54.991046806802764,-1871.395510962604,0.1366605192868215,150.11353750829508,-1238.9063810041553,0.49796873289851445,150.11353750829508
no_battery,0.02,OPTIMAL,7895,-206.98620285999957,7.287819862365723,68.28041999999999,3414.0209999999997,0.0,0.0,0.0,0.0,-3.694822225952521e-13,-138.70578285999994,3414.0209999999997,0.0,-206.98620285999957,3414.0209999999997,0.0,-68.28041999999962,0.0,0.0,0.0,0.0,0.0,0.0
basic,0.02,OPTIMAL,7895,-63.00221634976678,40.67649698257446,71.47704935457064,3573.852467728532,1873.528997229917,1692.28492,376.06331555555556,0.5418412361094612,23.78434833339614,32.259181338199994,6522.698274238227,0.3619578265312071,-206.98620285999957,3414.0209999999997,0.0,-95.26139768796678,-2948.845806509695,0.1798834095782541,143.9839865102328,-159.83146772853206,0.5418412361094612,143.9839865102328
tighter,0.02,OPTIMAL,7895,-63.002888946879274,54.78019952774048,71.4757752469529,3573.7887623476454,1872.8826343490305,1691.7015775,375.9336838888889,0.5415750960214881,23.78570515502392,32.258591455097545,6524.322891966759,0.36130821361169296,-206.98620285999957,3414.0209999999997,0.0,-95.26148040197683,-2950.5341296191136,0.18026688240979516,143.9833139131203,-159.76776234764566,0.5415750960214881,143.9833139131203
no_battery,0.03,OPTIMAL,7895,-241.12641285999987,7.212625980377197,102.42062999999999,3414.0209999999997,0.0,0.0,0.0,0.0,-5.684341886080802e-14,-138.70578285999994,3414.0209999999997,0.0,-241.12641285999987,3414.0209999999997,0.0,-102.42062999999993,0.0,0.0,0.0,0.0,0.0,0.0
