formulation,degradation_cost_eur_per_kwh,perfect_profit_eur,day_ahead_profit_eur,perfect_eq_cycles,day_ahead_eq_cycles,vpi_eur,vpi_pct
basic,0.0,-63.157977119545215,-68.57701499659628,375.8135377777778,388.713775,5.4190378770510605,8.5801321134683
tighter,0.0,-63.15855030912971,-68.57704894724725,375.65531555555555,388.6751122222223,5.418498638117541,8.57920045915665
basic,0.005,-71.21450717182948,-76.92485527031211,344.1436644444445,356.3512338888889,5.710348098482626,8.0185180313113
tighter,0.005,-71.21473368548595,-76.9248980302076,344.10433111111115,356.35157444444445,5.7101643447216475,8.018234498973374
basic,0.01,-78.67502141351108,-84.67816522898238,319.6204955555556,334.06653888888894,6.003143815471304,7.630304647671019
tighter,0.01,-78.67495811442245,-84.67835828299897,319.6070622222222,334.03800111111116,6.003400168576519,7.630636624992361
basic,0.02,-92.28301989910958,-98.95155287115416,284.3085383333334,298.83474777777775,6.668532972044588,7.226175497220515
tighter,0.02,-92.28309877794615,-98.9516462291874,284.3060938888889,298.83474777777775,6.668547451241253,7.226185010634802
basic,0.03,-104.43073746086478,-111.67687882504815,254.13352944444446,266.87090166666667,7.246141364183373,6.938705538586137
tighter,0.03,-104.43054687814498,-111.67671170957375,254.13342277777778,266.97304055555554,7.246164831428771,6.938740673151865
