formulation,grid_fee_eur_per_kwh,perfect_profit_eur,day_ahead_profit_eur,perfect_eq_cycles,day_ahead_eq_cycles,perfect_grid_exchange_kwh,day_ahead_grid_exchange_kwh,vpi_eur,vpi_pct
basic,0.0,9.174973875041607,5.180978113684246,476.28222222222223,497.2033333333333,6023.637952908588,6215.346426592798,3.993995761357361,43.5314129037697
tighter,0.0,9.174973875041635,5.181063287091446,476.28222222222223,497.24666666666667,6028.804268698061,6216.589493074793,3.9939105879501895,43.530484580612125
basic,0.01,-41.19832661705683,-46.519769505205154,371.19614722222224,388.8382966666667,4217.836381378116,4299.3777549999995,5.321442888148326,12.916648138677447
tighter,0.01,-41.19857164766627,-46.519783845205154,371.19036944444446,388.8382966666667,4217.83357251385,4299.381755,5.321212197538884,12.916011368176422
basic,0.02,-78.67502141351108,-84.67816522898238,319.6204955555556,334.06653888888894,3415.1186176454294,3485.4857831855957,6.003143815471304,7.630304647671019
tighter,0.02,-78.67495811442245,-84.67835828299897,319.6070622222222,334.03800111111116,3414.7324028254848,3485.475909556787,6.003400168576519,7.630636624992361
basic,0.03,-111.20901162601828,-117.70937675423464,304.000695,313.7014611111111,3133.368752070637,3170.0033335457065,6.500365128216359,5.845178401617539
tighter,0.03,-111.20829051237251,-117.70947107196318,304.0636366666667,313.6729233333333,3133.379666925208,3169.9934599168973,6.501180559590665,5.845949550737293
basic,0.04,-141.59158072610774,-148.38725978921713,292.8898072222222,300.10581666666667,2968.8584530955677,2994.1439593490304,6.7956790631093895,4.799493746916232
tighter,0.04,-141.5906606339748,-148.38723059331684,292.92402944444444,300.10581666666667,2968.875090214681,2994.1439593490304,6.796569959342037,4.800154140753541
basic,0.05,-170.8352369172238,-177.79614730860936,286.366055,291.65418833333337,2883.752442790859,2899.665299536011,6.960910391385568,4.074633850133854
tighter,0.05,-170.83593175196066,-177.79629045955122,286.366055,291.6886327777778,2883.772127001385,2899.6820446883657,6.960358707590558,4.074294345580888
