formulation,scenario,terminal_strategy,window,step,epoch_offset,total_profit_eur,total_runtime_seconds,n_subproblems,throughput_kwh,import_kwh,export_kwh,equivalent_cycles,terminal_soc_kwh,vpi_eur,vpi_pct,extra_throughput_kwh,vpi_degradation_eur,vpi_arbitrage_eur
basic,perfect_foresight,hard_floor,7895,7895,0,-78.67502141351108,9.15828561782837,1,1438.29223,1925.4174943767314,1489.701123268698,319.6204955555556,2.0,0.0,0.0,0.0,0.0,0.0
basic,weekly,hard_floor,168,24,0,-78.67590199907247,63.20823526382446,329,1438.0400100000002,1925.3934041274238,1489.7042811634349,319.5644466666667,2.0,0.0008805855613900349,0.0011192695541342548,0.0,0.0,0.0008805855613900349
basic,two_day,hard_floor,48,24,0,-78.6768030779944,28.825368404388428,329,1438.8340050000002,1925.4691819806094,1489.6942811634349,319.74089000000004,2.0,0.0017816644833317241,0.00226458722390097,0.5417750000001433,0.005417750000001434,-0.0036360855166697095
basic,day_ahead,hard_floor,24,24,0,-84.67816522898238,26.739863395690918,329,1503.2994250000002,1964.1125461288088,1521.3732370567868,334.06653888888894,2.0,6.003143815471304,7.630304647671019,65.00719500000014,0.6500719500000014,5.353071865471303
basic,epex_day_ahead,hard_floor,35,24,12,-78.78021231965243,30.766433715820312,330,1447.4871975,1926.5040144113573,1489.794281163435,321.6638216666667,2.0,0.10519090614135962,0.13370305371571833,9.194967500000075,0.09194967500000076,0.013241231141358861
basic,two_day_soft_val,soft_valuation,48,24,0,-78.53636245806305,36.06909775733948,329,1440.4377075,1924.0684877908586,1489.699281163435,320.0972683333333,0.5,-0.13865895544802243,-0.17624266629587487,2.14547749999997,0.0214547749999997,-0.16011373044802213
basic,day_ahead_naive,hard_floor,24,24,0,-78.00624924243702,25.81009864807129,322,1466.753085,1863.079861765928,1502.5517722506925,325.94513,2.0,-0.6687721710740533,-0.8500438373686966,28.460855000000038,0.2846085500000004,-0.9533807210740537
basic,epex_day_ahead_naive,hard_floor,35,24,12,-72.34158179152992,29.598267078399658,322,1405.8660275,1829.9924930955679,1476.042229736842,312.41467277777775,2.0,-6.333439621981157,-8.050127611269385,0.0,0.0,-6.333439621981157
tighter,perfect_foresight,hard_floor,7895,7895,0,-78.67495811442245,21.785276889801025,1,1438.23178,1925.2211216620499,1489.511281163435,319.6070622222222,2.0,0.0,0.0,0.0,0.0,0.0
tighter,weekly,hard_floor,168,24,0,-78.67638095641873,70.05845141410828,329,1437.7189500000002,1925.3457189750693,1489.691281163435,319.4931,2.0,0.0014228419962734051,0.0018085068367040846,0.0,0.0,0.0014228419962734051
tighter,two_day,hard_floor,48,24,0,-78.67699943962876,34.22660040855408,329,1438.8340050000002,1925.4741819806095,1489.699281163435,319.74089000000004,2.0,0.00204132520630651,0.002594631449739915,0.6022250000000895,0.006022250000000895,-0.003980924793694385
tighter,day_ahead,hard_floor,24,24,0,-84.67835828299897,27.163926601409912,329,1503.1710050000002,1964.1006725,1521.3752370567868,334.03800111111116,2.0,6.003400168576519,7.630636624992361,64.93922500000008,0.6493922500000008,5.354007918576518
tighter,epex_day_ahead,hard_floor,35,24,12,-78.78033687965244,28.266649961471558,330,1447.4871975,1926.5100144113574,1489.8002811634349,321.6638216666667,2.0,0.10537876522998602,0.13394194004746257,9.255417500000021,0.09255417500000021,0.012824590229985805
tighter,two_day_soft_val,soft_valuation,48,24,0,-78.53626668753674,32.622328996658325,329,1440.6205825,1924.090244369806,1489.701281163435,320.1379072222222,0.5,-0.138691426885714,-0.1762840809956396,2.3888024999998834,0.023888024999998834,-0.16257945188571285
tighter,day_ahead_naive,hard_floor,24,24,0,-78.00655700060877,25.644185543060303,322,1466.704085,1863.0805681371191,1502.5577722506926,325.93424111111113,2.0,-0.6684011138136867,-0.8495728880358405,28.472305000000006,0.2847230500000001,-0.9531241638136868
tighter,epex_day_ahead_naive,hard_floor,35,24,12,-72.3418859743,31.526030778884888,322,1405.8660275,1829.989493095568,1476.0392297368421,312.41467277777775,2.0,-6.333072140122454,-8.049666999392395,0.0,0.0,-6.333072140122454
